facility_id,name,district,state,pin_code,latitude,longitude,raw_notes,has_icu,has_ot,has_nicu,has_dialysis,has_oncology,has_blood_bank,has_oxygen_supply,is_24_7,has_anesthesiologist,has_surgeon,doctor_count,uses_parttime_doctors,equipment_mentioned,specialties_mentioned,data_staleness_years,trust_score,trust_level,contradictions,trust_reasoning
0,1000 Smiles Dental Clinic,Hyderabad,Telangana,500013,17.39773941,78.48268127,"dental clinic offering rct (root canal) and laser dentistry in amberpet, hyderabad. familymedicine periodontics endodontics dentistry aestheticdentistry  has been in operation for 10 years dental clinic performs root canal therapy (rct) provides laser dentistry services",False,False,False,False,False,False,False,False,False,False,,False,[],"['familyMedicine', 'periodontics', 'endodontics', 'dentistry', 'aestheticDentistry']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
1,108 Eye And Heath Centre,Noida,Uttar Pradesh,201307,28.57222366,77.36903381,"108 eye and health centre provides you the best range of treatments, treatment services, pharmaceutical injection, veterinary drugs & our services with effective & timely delivery. pediatricsandstrabismusophthalmology ophthalmology refractivesurgeryophthalmology familymedicine eyetraumaandemergencyeyecare cataractandanteriorsegmentsurgery uveitisophthalmology retinaandvitreoretinalophthalmology glaucomaophthalmology neuroophthalmology  neuro ophthalmology services offered outpatient ophthalmology clinic has 1 ophthalmologist/eye surgeon on staff dr. b k varma is an ophthalmologist/eye surgeon with 17 years of experience retina treatment services offered paediatric ophthalmology services offered employs experienced ophthalmologists uses latest equipment and world-standard technologies in eye care provides comprehensive eye care services under one roof treats squint glaucoma management offers paediatric ophthalmology performs cataract surgery general eye check-up manages uveitis cataract surgery lasik ipcl pre-lasik tests provides basic eye check up offers retina treatment services offers glaucoma treatment offers neuro ophthalmology icl post-lasik care squint correction retina treatment pediatric ophthalmology services",False,False,False,False,False,False,False,False,False,True,1.0,False,[],"['pediatricsAndStrabismusOphthalmology', 'ophthalmology', 'refractiveSurgeryOphthalmology', 'familyMedicine', 'eyeTraumaAndEmergencyEyeCare', 'cataractAndAnteriorSegmentSurgery', 'uveitisOphthalmology', 'retinaAndVitreoretinalOphthalmology', 'glaucomaOphthalmology', 'neuroOphthalmology']",,6.0,MEDIUM,[],Score 6.0/10. Issues: None
2,14 Stars Dental,Aurangabad,Uttar Pradesh,281001,27.45603371,77.70436096,"at 14 stars dental, we are dedicated to our patients in providing superior dental care at affordable prices. our goal is to help our patients look and feel better. dentistry generaldentistry  general dentistry services ",False,False,False,False,False,False,False,False,False,False,,False,[],"['dentistry', 'generalDentistry']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
3,24x7 Family Clinix,Ghaziabad,Uttar Pradesh,201017,28.70142746,77.42860413,nan familymedicine   ,False,False,False,False,False,False,False,False,False,False,,False,[],['familyMedicine'],,5.0,MEDIUM,[],Score 5.0/10. Issues: None
4,3 E EYE CARE,Ahmedabad,Gujarat,380014,23.00222206,72.5178299,efficient eye care with human touch! familymedicine   ,False,False,False,False,False,False,False,False,False,False,,False,[],['familyMedicine'],,5.0,MEDIUM,[],Score 5.0/10. Issues: None
5,30 + Ayurved Clinic,Pune,Maharashtra,411041,18.45826721,73.8122406,nan familymedicine   ,False,False,False,False,False,False,False,False,False,False,,False,[],['familyMedicine'],,5.0,MEDIUM,[],Score 5.0/10. Issues: None
6,32 Crowns Dental Clinic,Dinanagar,Punjab,143531,32.13368988,75.47664642,nan endodontics dentistry familymedicine prosthodontics   ,False,False,False,False,False,False,False,False,False,False,,False,[],"['endodontics', 'dentistry', 'familyMedicine', 'prosthodontics']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
7,32 Dental Care,Amritsar,Punjab,143001,31.68192101,74.86514282,"32 dental care - nursing homes / clinics / hospitals of dental implant service, general dentistry treatment services & teeth cleaning services in amritsar, punjab. owner: dr prashant nanda familymedicine generaldentistry prosthodontics dentoalveolarsurgery periodontics oralandmaxillofacialsurgery dentistry endodontics  has a dental surgeon on staff with 9 years of experience. dr. prashant nanda holds bds from sri guru ram das institute of dental sciences research, 2015 dr. prashant nanda is registered with punjab state dental council (registration 13860-a, 2016) specializes as dentist, cosmetic/aesthetic dentist, implantologist, and dental surgeon outpatient dental clinic has dr. prashant nanda with 10 years of overall experience (9 years as specialist) dr. prashant nanda is a member of the dental council of india and indian dental association offers in-clinic visits dr. prashant nanda practices at 32 dental care clinc in loharka kalan, amritsar [""performs dental restoration"",""general dentistry treatment services"",""performs wisdom tooth extraction"",""offers ceramic veneers / crowns"",""performs full mouth rehabilitation"",""offers smile design"",""provides children's dentistry"",""root coverage surgery services"",""performs impaction / impacted tooth extraction"",""offers implant prosthesis"",""teeth cleaning services"",""performs re-root canal treatment"",""dental implant service"",""periodontal dental treatment services"",""outpatient dental clinic""]",False,False,False,False,False,False,False,False,False,True,,False,[],"['familyMedicine', 'generalDentistry', 'prosthodontics', 'dentoalveolarSurgery', 'periodontics', 'oralAndMaxillofacialSurgery', 'dentistry', 'endodontics']",,6.0,MEDIUM,[],Score 6.0/10. Issues: None
8,32 Dental Care Multispeciality Dental Clinic,Chidambaram,Tamil Nadu,608501,11.5095892,79.70980835,nan dentistry familymedicine  multispeciality dental clinic ,False,False,False,False,False,False,False,False,False,False,,False,[],"['dentistry', 'familyMedicine']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
9,32 Dental Focus,Tiruppur,Tamil Nadu,641604,11.08645248,77.34620667,32 dental focus aims in providing our patients with the best high class dental treatment with advanced evidence based technologies. our specialized dental team of doctors provide you a complete dental treatment under one roof in a painless way. dentistry periodontics  specializes in periodontics uses advanced evidence-based technologies offers complete dental treatment under one roof maintains a specialized dental team of doctors provides painless dental treatment in its 6th year of operation ,False,False,False,False,False,False,False,False,False,False,,False,[],"['dentistry', 'periodontics']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
